time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-03-13T22:04:34.100Z,18.9808,-65.2723,24,2.8,Md,4,291.6,0.66924489,0.23,pr,pr17072005,2017-03-14T06:07:04.242Z,"75km N of Culebra, Puerto Rico",earthquake,1.8,19.1,0,4,reviewed,pr,pr
2017-03-13T21:15:06.135Z,51.6153,-176.4504,42.2,3.2,ml,,,,0.35,ak,ak15482368,2017-03-15T20:29:30.944Z,"32km SSE of Adak, Alaska",earthquake,,1.1,,,reviewed,ak,ak
2017-03-13T21:04:05.710Z,13.8276,-92.2693,37.51,4.7,mb,,183,0.889,0.91,us,us100088rh,2017-03-14T16:13:31.484Z,"64km SW of Champerico, Guatemala",earthquake,7.6,9.9,0.045,152,reviewed,us,us
2017-03-13T19:25:50.840Z,37.6366667,-121.6906667,4.57,2.79,md,107,43,0.05461,0.18,nc,nc72774871,2017-03-16T02:28:03.025Z,"8km SE of Livermore, California",earthquake,0.14,0.32,0.151,97,reviewed,nc,nc
2017-03-13T19:01:49.711Z,61.5506,-152.1147,108.8,2.6,ml,,,,0.47,ak,ak15481291,2017-03-15T20:29:29.369Z,"105km NNW of Nikiski, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2017-03-13T16:46:52.093Z,62.5786,-149.4848,59.1,2.5,ml,,,,0.52,ak,ak15480083,2017-03-15T20:29:26.827Z,"42km NE of Talkeetna, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2017-03-13T16:39:41.500Z,-17.6246,-178.7512,548.69,4.4,mb,,91,3.049,0.95,us,us100088p6,2017-03-13T17:40:57.040Z,"239km SE of Lambasa, Fiji",earthquake,13,8.9,0.065,68,reviewed,us,us
2017-03-13T15:46:01.130Z,-12.6783,-76.8277,41.74,4.1,mb,,169,0.686,0.84,us,us100088rl,2017-03-14T04:02:19.069Z,"19km SSW of Chilca, Peru",earthquake,9.8,16.8,0.368,2,reviewed,us,us
2017-03-13T15:05:54.850Z,-30.4146,-71.4753,34.06,5.1,mww,,66,0.292,0.93,us,us100088n2,2017-03-14T16:44:50.040Z,"33km NW of Ovalle, Chile",earthquake,5.5,3.3,,,reviewed,us,guc
2017-03-13T14:39:04.160Z,35.8795,-120.0611667,15.45,3.52,mw,66,70,0.1514,0.17,nc,nc72774671,2017-03-14T22:22:41.598Z,"14km SSE of Avenal, California",earthquake,0.33,0.42,,9,reviewed,nc,nc
2017-03-13T14:19:06.700Z,17.415,96.0107,10,5.1,mb,,42,0.563,0.62,us,us100088mq,2017-03-15T14:53:40.211Z,"34km SE of Tharyarwady, Burma",earthquake,6.9,1.8,0.061,88,reviewed,us,us
2017-03-13T13:29:14.380Z,40.856,-121.2138333,13.61,2.71,md,29,89,0.105,0.1,nc,nc72774621,2017-03-16T04:19:02.212Z,"37km E of Burney, California",earthquake,0.27,0.5,0.122,40,reviewed,nc,nc
2017-03-13T12:32:36.070Z,-16.5105,-173.2212,34.25,4.6,mb,,104,4.044,0.68,us,us100088mn,2017-03-13T13:21:24.040Z,"83km SE of Hihifo, Tonga",earthquake,14.8,6.5,0.136,16,reviewed,us,us
2017-03-13T09:46:29.600Z,19.0909,-66.4337,30,2.7,Md,3,302.4,0.7995006,0.1,pr,pr17072004,2017-03-13T12:08:30.177Z,"69km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,1.3,9.7,0,3,reviewed,pr,pr
2017-03-13T08:49:05.880Z,14.3219,145.2049,104.46,5.5,mb,,46,0.798,1.19,us,us100088m4,2017-03-14T17:05:13.040Z,"18km N of Rota, Northern Mariana Islands",earthquake,8.9,5.4,0.045,168,reviewed,us,us
2017-03-13T07:20:53.706Z,53.4224,-163.495,41.5,2.6,ml,,,,0.59,ak,ak15500083,2017-03-15T20:29:16.057Z,"159km S of False Pass, Alaska",earthquake,,6.7,,,reviewed,ak,ak
2017-03-13T07:15:55.030Z,-2.0192,140.5986,28.68,5,mb,,102,8.389,0.81,us,us100088ly,2017-03-13T07:31:28.040Z,"57km N of Jayapura, Indonesia",earthquake,10.6,6.4,0.094,36,reviewed,us,us
2017-03-13T06:51:31.222Z,41.8475,-119.6369,10.8,2.7,ml,6,75.02,0.159,0.269,nn,nn00581842,2017-03-14T02:35:16.152Z,"69km ESE of Lakeview, Oregon",earthquake,,2.8,0.54,5,reviewed,nn,nn
2017-03-13T06:25:37.510Z,40.2498,143.6091,10,4.6,mb,,144,1.796,1.03,us,us100088ls,2017-03-13T06:43:44.040Z,"157km ENE of Miyako, Japan",earthquake,6.8,1.9,0.087,40,reviewed,us,us
2017-03-13T03:02:23.980Z,46.573,-112.5485,20.17,3.81,ml,40,70,0.063,0.23,mb,mb80201999,2017-03-14T02:24:44.661Z,"25km NNE of Deer Lodge, Montana",earthquake,0.41,0.54,0.264,27,reviewed,mb,mb
2017-03-13T02:48:51.110Z,13.9565,120.7489,165.58,4.6,mb,,106,8.329,0.91,us,us100088l9,2017-03-13T09:58:12.580Z,"2km NE of Balayan, Philippines",earthquake,10.9,7.3,0.052,108,reviewed,us,us
2017-03-13T02:27:49.200Z,18.6082,-67.609,11,3,Md,11,306,0.25332491,0.34,pr,pr17072002,2017-03-13T05:44:32.625Z,"48km NW of Rincon, Puerto Rico",earthquake,2.1,1.4,0,5,reviewed,pr,pr
2017-03-13T02:25:20.930Z,42.43,43.6166,9.41,4.4,mb,,63,0.201,0.98,us,us100088l0,2017-03-13T04:03:41.072Z,"21km SE of Oni, Georgia",earthquake,6.3,5.3,0.088,37,reviewed,us,us
2017-03-13T02:11:35.270Z,37.7023333,-77.8155,11.4,2.6,mlg,11,60,0.2656,0.13,se,se60180296,2017-03-16T13:03:32.205Z,"6km ENE of Goochland, Virginia",earthquake,0.32,0.91,,5,reviewed,se,se
2017-03-13T02:11:23.600Z,18.6025,-67.4944,5,3.1,Md,12,190.8,0.2173923,0.31,pr,pr17072001,2017-03-13T05:07:28.504Z,"38km NW of Rincon, Puerto Rico",earthquake,0.8,0.9,0,9,reviewed,pr,pr
2017-03-13T02:07:19.620Z,36.2105,70.6783,114.94,4.5,mb,,80,0.917,0.97,us,us100088kv,2017-03-13T02:43:09.040Z,"21km NNW of `Alaqahdari-ye Kiran wa Munjan, Afghanistan",earthquake,5.6,6.1,0.07,60,reviewed,us,us
2017-03-13T02:01:46.437Z,60.0342,-151.9875,62.5,2.5,ml,,,,0.61,ak,ak15474682,2017-03-15T20:29:11.318Z,"29km NNW of Anchor Point, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2017-03-13T01:05:49.300Z,18.6046,-67.5016,4,3,Md,11,190.8,0.22008724,0.36,pr,pr17072000,2017-03-13T04:42:05.583Z,"39km NW of Rincon, Puerto Rico",earthquake,1,1,0,7,reviewed,pr,pr
2017-03-13T00:48:28.400Z,-6.2865,147.5333,58.51,4.1,mb,,179,3.12,0.32,us,us100088kk,2017-03-13T01:17:54.040Z,"50km NW of Finschhafen, Papua New Guinea",earthquake,14.1,18.1,0.151,12,reviewed,us,us
2017-03-12T22:31:59.220Z,40.2806667,-127.2215,4.3,3.51,ml,11,353,2.212,0.16,nc,nc72773776,2017-03-14T03:51:02.985Z,"253km W of Ferndale, California",earthquake,11.33,8.83,0.082,9,reviewed,nc,nc
2017-03-12T22:26:47.600Z,18.837,-64.2565,30,3.2,Md,5,342,0.81746691,0.12,pr,pr17071016,2017-03-13T01:07:56.811Z,"60km NE of Road Town, British Virgin Islands",earthquake,3.7,9.7,0,4,reviewed,pr,pr
